Period,March 24, 2018 -> Today at 2:59 PM,

,Time,Butler Trail - Crenshaw Bridge PC (Urban Trail)Butler Trail - Crenshaw Bridge PC (Urban Trail),Butler Trail - South Lamar PC (Urban Trail)Butler Trail - South Lamar PC (Urban Trail),Butler Trail - North Congress PC (Urban Trail)Butler Trail - North Congress PC (Urban Trail),Butler Trail - Longhorn Dam PC (Urban Trail)Butler Trail - Longhorn Dam PC (Urban Trail),Butler Trail - Crenshaw Bridge PC (Urban Trail)Channel 1 IN,Butler Trail - South Lamar PC (Urban Trail)Butler Trail (TBD) Pedestrians Eastbound,Butler Trail - North Congress PC (Urban Trail)Butler Trail (TBD) Pedestrians Eastbound,Butler Trail - Longhorn Dam PC (Urban Trail)Channel 1 IN,Butler Trail - Crenshaw Bridge PC (Urban Trail)Channel 2 OUT,Butler Trail - South Lamar PC (Urban Trail)Butler Trail (TBD) Pedestrians Westbound,Butler Trail - North Congress PC (Urban Trail)Butler Trail (TBD) Pedestrians Westbound,Butler Trail - Longhorn Dam PC (Urban Trail)Channel 2 OUT,Butler Trail - Crenshaw Bridge PC (Urban Trail)Channel 3 IN,Butler Trail - South Lamar PC (Urban Trail)Butler Trail (TBD) Cyclists Eastbound,Butler Trail - North Congress PC (Urban Trail)Butler Trail (TBD) Cyclists Eastbound,Butler Trail - Longhorn Dam PC (Urban Trail)Channel 3 IN,Butler Trail - Crenshaw Bridge PC (Urban Trail)Channel 4 OUT,Butler Trail - South Lamar PC (Urban Trail)Butler Trail (TBD) Cyclists Westbound,Butler Trail - North Congress PC (Urban Trail)Butler Trail (TBD) Cyclists Westbound,Butler Trail - Longhorn Dam PC (Urban Trail)Channel 4 OUT,
,Mar 25, 2018 1:30 PM,153,,,,71,,,,51,,,,11,,,,20,,,,
,Mar 25, 2018 1:45 PM,96,,,,39,,,,35,,,,13,,,,9,,,,
,Mar 25, 2018 2:00 PM,94,,,,53,,,,33,,,,4,,,,4,,,,
,Mar 25, 2018 2:15 PM,117,,,,42,,,,48,,,,11,,,,16,,,,
,Mar 25, 2018 2:30 PM,94,,,,39,,,,36,,,,15,,,,4,,,,
,Mar 25, 2018 2:45 PM,96,,,,35,,,,29,,,,18,,,,14,,,,
,Mar 25, 2018 3:00 PM,101,,,,39,,,,41,,,,11,,,,10,,,,
,Mar 25, 2018 3:15 PM,114,,,,47,,,,36,,,,20,,,,11,,,,
,Mar 25, 2018 3:30 PM,112,,,,37,,,,57,,,,5,,,,13,,,,
,Mar 25, 2018 3:45 PM,96,,,,39,,,,39,,,,10,,,,8,,,,
,Mar 25, 2018 4:00 PM,106,,,,38,,,,36,,,,16,,,,16,,,,
,Mar 25, 2018 4:15 PM,137,,,,40,,,,52,,,,17,,,,28,,,,
,Mar 25, 2018 4:30 PM,74,,,,27,,,,30,,,,8,,,,9,,,,
,Mar 25, 2018 4:45 PM,87,,,,35,,,,33,,,,8,,,,11,,,,
,Mar 25, 2018 5:00 PM,76,,,,23,,,,33,,,,10,,,,10,,,,
,Mar 25, 2018 5:15 PM,71,,,,26,,,,29,,,,5,,,,11,,,,
,Mar 25, 2018 5:30 PM,75,,,,30,,,,28,,,,11,,,,6,,,,
,Mar 25, 2018 5:45 PM,87,,,,27,,,,39,,,,12,,,,9,,,,
,Mar 25, 2018 6:00 PM,69,,,,27,,,,32,,,,2,,,,8,,,,
,Mar 25, 2018 6:15 PM,74,,,,27,,,,25,,,,9,,,,13,,,,
,Mar 25, 2018 6:30 PM,69,,,,22,,,,25,,,,10,,,,12,,,,
,Mar 25, 2018 6:45 PM,72,,,,21,,,,37,,,,11,,,,3,,,,
,Mar 25, 2018 7:00 PM,56,,,,21,,,,25,,,,5,,,,5,,,,
,Mar 25, 2018 7:15 PM,52,,,,20,,,,20,,,,2,,,,10,,,,
,Mar 25, 2018 7:30 PM,53,,,,17,,,,22,,,,3,,,,11,,,,
,Mar 25, 2018 7:45 PM,20,,,,13,,,,4,,,,1,,,,2,,,,
,Mar 25, 2018 8:00 PM,8,,,,5,,,,2,,,,1,,,,,,,,
,Mar 25, 2018 8:15 PM,19,,,,11,,,,3,,,,2,,,,3,,,,
,Mar 25, 2018 8:30 PM,2,,,,2,,,,,,,,,,,,,,,,
,Mar 25, 2018 8:45 PM,6,,,,2,,,,1,,,,1,,,,2,,,,
,Mar 25, 2018 9:00 PM,5,,,,1,,,,2,,,,,,,,2,,,,
,Mar 25, 2018 9:15 PM,,,,,,,,,,,,,,,,,,,,,
,Mar 25, 2018 9:30 PM,2,,,,2,,,,,,,,,,,,,,,,
,Mar 25, 2018 9:45 PM,3,,,,,,,,1,,,,2,,,,,,,,
,Mar 25, 2018 10:00 PM,,,,,,,,,,,,,,,,,,,,,
,Mar 25, 2018 10:15 PM,,,,,,,,,,,,,,,,,,,,,
,Mar 25, 2018 10:30 PM,,,,,,,,,,,,,,,,,,,,,
,Mar 25, 2018 10:45 PM,1,,,,1,,,,,,,,,,,,,,,,
,Mar 25, 2018 11:00 PM,,,,,,,,,,,,,,,,,,,,,
,Mar 25, 2018 11:15 PM,2,,,,,,,,,,,,1,,,,1,,,,
,Mar 25, 2018 11:30 PM,,,,,,,,,,,,,,,,,,,,,
,Mar 25, 2018 11:45 PM,1,,,,1,,,,,,,,,,,,,,,,
,Mar 26, 2018 12:00 AM,3,,,,,,,,2,,,,,,,,1,,,,
,Mar 26, 2018 12:15 AM,3,,,,3,,,,,,,,,,,,,,,,
,Mar 26, 2018 12:30 AM,,,,,,,,,,,,,,,,,,,,,
,Mar 26, 2018 12:45 AM,1,,,,1,,,,,,,,,,,,,,,,
,Mar 26, 2018 1:00 AM,,,,,,,,,,,,,,,,,,,,,
,Mar 26, 2018 1:15 AM,,,,,,,,,,,,,,,,,,,,,
,Mar 26, 2018 1:30 AM,,,,,,,,,,,,,,,,,,,,,
,Mar 26, 2018 1:45 AM,,,,,,,,,,,,,,,,,,,,,
,Mar 26, 2018 2:00 AM,,,,,,,,,,,,,,,,,,,,,
,Mar 26, 2018 2:15 AM,,,,,,,,,,,,,,,,,,,,,
,Mar 26, 2018 2:30 AM,,,,,,,,,,,,,,,,,,,,,
,Mar 26, 2018 2:45 AM,,,,,,,,,,,,,,,,,,,,,
,Mar 26, 2018 3:00 AM,,,,,,,,,,,,,,,,,,,,,
,Mar 26, 2018 3:15 AM,1,,,,,,,,,,,,,,,,1,,,,
,Mar 26, 2018 3:30 AM,,,,,,,,,,,,,,,,,,,,,
,Mar 26, 2018 3:45 AM,,,,,,,,,,,,,,,,,,,,,
,Mar 26, 2018 4:00 AM,,,,,,,,,,,,,,,,,,,,,
,Mar 26, 2018 4:15 AM,,,,,,,,,,,,,,,,,,,,,
,Mar 26, 2018 4:30 AM,,,,,,,,,,,,,,,,,,,,,
,Mar 26, 2018 4:45 AM,1,,,,1,,,,,,,,,,,,,,,,
,Mar 26, 2018 5:00 AM,5,,,,2,,,,3,,,,,,,,,,,,
,Mar 26, 2018 5:15 AM,2,,,,1,,,,1,,,,,,,,,,,,
,Mar 26, 2018 5:30 AM,7,,,,1,,,,3,,,,3,,,,,,,,
,Mar 26, 2018 5:45 AM,19,,,,2,,,,14,,,,2,,,,1,,,,
,Mar 26, 2018 6:00 AM,18,,,,5,,,,10,,,,1,,,,2,,,,
,Mar 26, 2018 6:15 AM,38,,,,20,,,,17,,,,1,,,,,,,,
,Mar 26, 2018 6:30 AM,29,,,,15,,,,14,,,,,,,,,,,,
,Mar 26, 2018 6:45 AM,39,,,,17,,,,21,,,,1,,,,,,,,
,Mar 26, 2018 7:00 AM,40,,,,14,,,,19,,,,7,,,,,,,,
,Mar 26, 2018 7:15 AM,34,,,,15,,,,19,,,,,,,,,,,,
,Mar 26, 2018 7:30 AM,43,,,,16,,,,22,,,,3,,,,2,,,,
,Mar 26, 2018 7:45 AM,57,,,54,19,,,35,33,,,19,4,,,,1,,,,
,Mar 26, 2018 8:00 AM,82,,,80,34,,,31,38,,,49,5,,,,5,,,,
,Mar 26, 2018 8:15 AM,76,,,92,35,,,40,33,,,52,3,,,,5,,,,
,Mar 26, 2018 8:30 AM,92,,,123,42,,,55,42,,,68,5,,,,3,,,,
,Mar 26, 2018 8:45 AM,85,,,82,35,,,42,41,,,40,3,,,,6,,,,
,Mar 26, 2018 9:00 AM,86,,,46,37,,,28,42,,,18,4,,,,3,,,,
,Mar 26, 2018 9:15 AM,93,,,59,34,,,37,49,,,22,5,,,,5,,,,
,Mar 26, 2018 9:30 AM,95,,,28,42,,,12,39,,,16,9,,,,5,,,,
,Mar 26, 2018 9:45 AM,69,,,18,32,,,12,33,,,6,3,,,,1,,,,
,Mar 26, 2018 10:00 AM,77,,,30,27,,,22,39,,,8,8,,,,3,,,,
,Mar 26, 2018 10:15 AM,84,,,37,39,,,14,37,,,23,4,,,,4,,,,
,Mar 26, 2018 10:30 AM,62,,,121,18,,,93,33,,,28,7,,,,4,,,,
,Mar 26, 2018 10:45 AM,102,,,183,55,,,135,32,,,48,6,,,,9,,,,
,Mar 26, 2018 11:00 AM,100,,,68,40,,,40,52,,,24,4,,,2,4,,,2,
,Mar 26, 2018 11:15 AM,113,,,88,45,,,47,54,,,37,7,,,3,7,,,1,
,Mar 26, 2018 11:30 AM,98,,,35,31,,,15,56,,,11,6,,,7,5,,,2,
,Mar 26, 2018 11:45 AM,70,,,16,28,,,5,33,,,7,7,,,,2,,,4,
,Mar 26, 2018 12:00 PM,110,,,41,45,,,30,50,,,2,5,,,9,10,,,,
,Mar 26, 2018 12:15 PM,107,,,21,33,,,11,50,,,3,10,,,6,14,,,1,
,Mar 26, 2018 12:30 PM,119,,,20,63,,,8,44,,,3,7,,,5,5,,,4,
,Mar 26, 2018 12:45 PM,71,,,47,29,,,18,27,,,15,8,,,4,7,,,10,
,Mar 26, 2018 1:00 PM,78,,,28,28,,,20,37,,,3,1,,,3,12,,,2,
,Mar 26, 2018 1:15 PM,68,,,12,22,,,5,28,,,2,10,,,1,8,,,4,
,Mar 26, 2018 1:30 PM,78,,15,17,26,,5,6,32,,10,2,7,,,3,13,,,6,
