Time,Butler Trail : Crenshaw Bridge - Urban Trail,Butler Trail: South Lamar - Urban Trail,Butler Trail: North Congress - Urban Trail,Butler Trail : Longhorn Dam - Urban Trail,Shoal Creek Trail & 24th St- Urban Trail
2/8/17 0:00,4927,,,,37
2/9/17 0:00,4141,,,,27
2/10/17 0:00,3908,,,,194
2/11/17 0:00,8089,,,,685
2/12/17 0:00,7221,,,,44
2/13/17 0:00,3410,,,,44
2/14/17 0:00,1470,,,,400
2/15/17 0:00,3955,,,,671
2/16/17 0:00,4494,,,,305
2/17/17 0:00,4673,,,,209
2/18/17 0:00,8465,,,,108
2/19/17 0:00,4683,,,,114
2/20/17 0:00,3546,,,,138
2/21/17 0:00,5512,,,,92
2/22/17 0:00,5043,,,,100
2/23/17 0:00,4701,,,,96
2/24/17 0:00,4938,,,,44
2/25/17 0:00,7539,,,,81
2/26/17 0:00,4829,,,,55
2/27/17 0:00,4084,,,,42
2/28/17 0:00,3937,,,,55
3/1/17 0:00,4978,,,,92
3/2/17 0:00,4381,,,,193
3/3/17 0:00,4407,,,,160
3/4/17 0:00,2255,,,,109
3/5/17 0:00,4959,,,,42
3/6/17 0:00,4256,,,,238
3/7/17 0:00,3922,,,,70
3/8/17 0:00,4195,,,,51
3/9/17 0:00,3617,,,,54
3/10/17 0:00,3914,,,,71
3/11/17 0:00,2521,,,,265
3/12/17 0:00,3663,,,,31
3/13/17 0:00,4013,,,,93
3/14/17 0:00,5034,,,,55
3/15/17 0:00,4924,,,,65
3/16/17 0:00,3447,,,,51
3/17/17 0:00,3410,,,,43
3/18/17 0:00,6056,,,,57
3/19/17 0:00,6193,,,,52
3/20/17 0:00,4651,,,,55
3/21/17 0:00,4825,,,,41
3/22/17 0:00,4575,,,,33
3/23/17 0:00,4710,,,,72
3/24/17 0:00,2707,,,,397
3/25/17 0:00,8436,,,,131
3/26/17 0:00,6514,,,,17
3/27/17 0:00,4293,,,,239
3/28/17 0:00,4003,,,,57
3/29/17 0:00,4741,,,,65
3/30/17 0:00,5692,,,,52
3/31/17 0:00,4535,,,,38
4/1/17 0:00,6083,,,,13
4/2/17 0:00,4408,,,,23
4/3/17 0:00,5135,,,,87
4/4/17 0:00,4801,,,,50
4/5/17 0:00,5348,,,,173
4/6/17 0:00,5440,,,,38
4/7/17 0:00,4818,,,,10
4/8/17 0:00,7297,,,,12
4/9/17 0:00,6451,,,,18
4/10/17 0:00,2874,,,,5
4/11/17 0:00,2396,,,,2
4/12/17 0:00,4735,,,,12
4/13/17 0:00,4356,,,,34
4/14/17 0:00,5553,,,,23
4/15/17 0:00,7283,,,,19
4/16/17 0:00,6048,,,,547
4/17/17 0:00,3503,,,,270
4/18/17 0:00,4954,,,,239
4/19/17 0:00,4612,,,,672
4/20/17 0:00,4255,,,,582
4/21/17 0:00,3824,,,,1145
4/22/17 0:00,5451,,,,259
4/23/17 0:00,6814,,,,603
4/24/17 0:00,5020,,,,640
4/25/17 0:00,3769,,,,28
4/26/17 0:00,3726,,,,37
4/27/17 0:00,4839,,,,47
4/28/17 0:00,3040,,,,130
4/29/17 0:00,4181,,,,223
4/30/17 0:00,8092,,,,124
5/1/17 0:00,4090,,,,126
5/2/17 0:00,3919,,,,242
5/3/17 0:00,3002,,,,137
5/4/17 0:00,5054,,,,169
5/5/17 0:00,4346,,,,180
5/6/17 0:00,6167,,,,172
5/7/17 0:00,5923,,,,213
5/8/17 0:00,4310,,,,128
5/9/17 0:00,3092,,,,111
5/10/17 0:00,3563,,,,125
5/11/17 0:00,3215,,,,103
5/12/17 0:00,4333,,,,193
5/13/17 0:00,6540,,,,183
5/14/17 0:00,5039,,,,174
5/15/17 0:00,3786,,,,172
5/16/17 0:00,4006,,,,177
5/17/17 0:00,3008,,,,127
5/18/17 0:00,2886,,,,176
5/19/17 0:00,2633,,,,187
5/20/17 0:00,3818,,,,78
5/21/17 0:00,5782,,,,117
5/22/17 0:00,3706,,,,100
5/23/17 0:00,3997,,,,123
5/24/17 0:00,8477,,,,224
5/25/17 0:00,3475,,,,146
5/26/17 0:00,2882,,,,116
5/27/17 0:00,4070,,,,115
5/28/17 0:00,3864,,,,118
5/29/17 0:00,5036,,,,142
5/30/17 0:00,3955,,,,155
5/31/17 0:00,4055,,,,145
6/1/17 0:00,3408,,,,203
6/2/17 0:00,2502,,,,156
